Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
NA,NA,a-curv-i4,2024-25,Fall River-B M C Durfee High,00950505,         547,         389,  71.1,  21.4,  57.6,  46.3,   6.8,  24.9,   1.3,  16.3,   3.3
NA,NA,a-curv-i4,2024-25,Fall River-Resiliency Preparatory Academy,00950525,          22,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Fall River-Stone PK-12 School,00950340,           2,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Falmouth-Falmouth High,00960505,         261,         212,  81.2,  23.4,  69.0,  20.3,   5.7,  44.8,   5.4,   7.7,   0.0
NA,NA,a-curv-i4,2024-25,Fitchburg-Fitchburg High,00970505,         108,          69,  63.9,  35.2,  48.1,  24.1,  10.2,  33.3,   0.0,  23.1,   0.0
NA,NA,a-curv-i4,2024-25,Fitchburg-Goodrich Academy,00970510,          50,           6,  12.0,   0.0,  10.0,   2.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,          65,          47,  72.3,   0.0,  72.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Foxborough Regional Charter (District)-Foxborough Regional Charter School,04460550,          30,          23,  76.7,  33.3,  63.3,  30.0,   0.0,  43.3,   6.7,  10.0,   0.0
NA,NA,a-curv-i4,2024-25,Foxborough-Foxborough High,00990505,         297,         211,  71.0,  22.6,  54.2,  18.9,   2.0,  45.1,   1.7,   9.4,   0.0
NA,NA,a-curv-i4,2024-25,Framingham-Framingham High School,01000515,         481,         384,  79.8,  22.0,  71.1,  37.0,   2.5,  34.9,   3.3,  13.1,   0.0
NA,NA,a-curv-i4,2024-25,Francis W. Parker Charter Essential (District)-Francis W. Parker Charter Essential School,04780505,          89,          77,  86.5,  28.1,  73.0,  50.6,   2.2,   5.6,   0.0,   1.1,   0.0
NA,NA,a-curv-i4,2024-25,Franklin County Regional Vocational Technical-Franklin County Technical,08180605,         268,         150,  56.0,  20.5,  22.4,   0.4,   0.7,   3.0,   0.0,   0.0,  35.4
NA,NA,a-curv-i4,2024-25,Franklin-Franklin High,01010505,         601,         466,  77.5,  16.6,  73.4,  27.5,   1.8,  41.3,   4.3,   6.0,   0.0
NA,NA,a-curv-i4,2024-25,Freetown-Lakeville-Apponequet Regional High,06650505,         310,         210,  67.7,  37.1,  54.5,  29.4,   3.5,  37.4,   4.5,   7.1,   0.0
NA,NA,a-curv-i4,2024-25,Frontier-Frontier Regional,06700505,         154,         103,  66.9,  18.2,  59.1,  23.4,   1.3,  21.4,   0.0,   4.5,   0.0
NA,NA,a-curv-i4,2024-25,Gardner-Gardner Academy for Learning and Technology,01030515,          54,          36,  66.7,  33.3,  50.0,  35.2,   7.4,  50.0,  29.6,  51.9,   0.0
NA,NA,a-curv-i4,2024-25,Gardner-Gardner High,01030505,         200,         144,  72.0,  44.5,  62.5,  31.0,   2.0,  40.5,   3.5,  26.0,   0.0
NA,NA,a-curv-i4,2024-25,Gateway-Gateway Regional School,06720505,          56,          29,  51.8,  30.4,  42.9,  35.7,   3.6,  25.0,   0.0,   3.6,   0.0
NA,NA,a-curv-i4,2024-25,Georgetown-Georgetown High School,01050505,         110,          81,  73.6,  33.6,  63.6,  17.3,   0.9,  31.8,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Gill-Montague-Turners Fall High,06740505,          62,          33,  53.2,  22.6,  43.5,  14.5,   4.8,   9.7,   3.2,  17.7,   0.0
NA,NA,a-curv-i4,2024-25,Global Learning Charter Public (District)-Global Learning Charter Public School,04960305,          24,          19,  79.2,  45.8,  66.7,   0.0,   0.0,  45.8,   0.0,  33.3,   0.0
NA,NA,a-curv-i4,2024-25,Gloucester-Gloucester High,01070505,         280,         120,  42.9,  11.8,  39.3,  10.0,   1.8,  10.4,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Grafton-Grafton High School,01100505,         322,         266,  82.6,  48.4,  72.0,  32.3,  14.6,  20.5,   1.6,   2.5,   0.0
NA,NA,a-curv-i4,2024-25,Granby-Granby Jr Sr High School,01110505,          78,          60,  76.9,  52.6,  50.0,  15.4,   5.1,  32.1,   1.3,  15.4,   0.0
NA,NA,a-curv-i4,2024-25,Greater Commonwealth Virtual District-Greater Commonwealth Virtual School,39010900,         170,          61,  35.9,  11.8,  28.8,   8.2,   2.9,  11.8,   1.8,   5.3,   0.0
NA,NA,a-curv-i4,2024-25,Greater Fall River Regional Vocational Technical-Diman Regional Vocational Technical High,08210605,         493,         449,  91.1,  13.8,  54.2,  11.8,   0.0,  12.8,   0.0,  71.2,  46.5
NA,NA,a-curv-i4,2024-25,Greater Lawrence Regional Vocational Technical-Gr Lawrence Regional Vocational Technical,08230605,         128,          67,  52.3,   9.4,  45.3,   0.0,   0.0,   9.4,   0.0,   0.0,  30.5
NA,NA,a-curv-i4,2024-25,Greater Lowell Regional Vocational Technical-Gr Lowell Regional Vocational Technical,08280605,         408,         365,  89.5,  12.0,  60.3,  36.3,   3.4,   6.9,   1.5,  53.9,  49.3
NA,NA,a-curv-i4,2024-25,Greater New Bedford Regional Vocational Technical-Gr New Bedford Vocational Technical,08250605,         557,         412,  74.0,   5.7,  48.7,  25.0,   1.4,   5.6,   0.0,  40.9,  27.6
