Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count,Student Count,Student to Nurse Ratio
6.8133333333333335,5,a-phya-i1,2024-25,Barnstable - Centerville Elementary,00200010,          0.0,          0.0,          0.2,          1.0,          0.0,          0.0,          0.0,          1.2,267,222.5
7.2,5,a-phya-i1,2024-25,Barnstable - Enoch Cobb Early Learning Center,00200001,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          1.0,150,150.0
7.250909090909091,5,a-phya-i1,2024-25,Barnstable - Hyannis West Elementary,00200025,          0.0,          1.0,          0.2,          1.0,          0.0,          0.0,          0.0,          2.2,309,140.45454545454544
6.946666666666666,5,a-phya-i1,2024-25,Barnstable - West Barnstable Elementary,00200005,          0.0,          0.0,          0.2,          0.0,          1.0,          0.0,          0.0,          1.2,237,197.5
4.83047619047619,4.83,a-phya-i1,2024-25,Barnstable - West Villages Elementary School,00200045,          0.0,          0.0,          0.2,          0.5,          0.0,          0.0,          0.0,          0.7,416,594.2857142857143
5.930666666666666,5,a-phya-i1,2024-25,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,          1.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,388,388.0
5.1066666666666665,5,a-phya-i1,2024-25,Bedford - Bedford High,00230505,          0.0,          0.0,          0.0,          0.0,          1.0,          0.1,          0.5,          1.6,868,542.5
3.398095238095238,3.4,a-phya-i1,2024-25,Bedford - John Glenn Middle,00230305,          0.0,          0.0,          0.0,          0.0,          0.0,          0.7,          0.0,          0.7,604,862.8571428571429
6.727619047619048,5,a-phya-i1,2024-25,Bedford - Lt Eleazer Davis,00230010,          0.0,          1.0,          0.0,          1.0,          0.0,          0.1,          0.0,          2.1,501,238.57142857142856
-20.8,1,a-phya-i1,2024-25,Bedford - Lt Job Lane School,00230012,          0.0,          0.0,          0.0,          0.0,          0.0,          0.1,          0.0,          0.1,540,5400.0
0.36,1,a-phya-i1,2024-25,Belchertown - Belchertown High,00240505,          0.0,          0.2,          0.0,          0.2,          0.0,          0.0,          0.0,          0.4,573,1432.5
6.118095238095238,5,a-phya-i1,2024-25,Belchertown - Chestnut Hill Community School,00240006,          0.0,          0.2,          0.0,          0.2,          0.0,          1.0,          0.0,          1.4,494,352.8571428571429
7.283809523809524,5,a-phya-i1,2024-25,Belchertown - Cold Spring,00240005,          0.0,          0.2,          1.0,          0.2,          0.0,          0.0,          0.0,          1.4,188,134.2857142857143
6.693333333333333,5,a-phya-i1,2024-25,Belchertown - Jabish Middle School,00240025,          0.0,          0.2,          0.0,          0.2,          0.0,          0.0,          1.0,          1.4,343,245.00000000000003
6.304761904761905,5,a-phya-i1,2024-25,Belchertown - Swift River Elementary,00240018,          0.0,          0.2,          0.0,          1.2,          0.0,          0.0,          0.0,          1.4,445,317.8571428571429
4.053333333333334,4.05,a-phya-i1,2024-25,Bellingham - Bellingham High School,00250505,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,740,740.0
4.874666666666666,4.87,a-phya-i1,2024-25,Bellingham - Bellingham Memorial School,00250315,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          1.0,586,586.0
5.946666666666666,5,a-phya-i1,2024-25,Bellingham - Joseph F DiPietro Elementary School,00250020,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          1.0,385,385.0
0,1,a-phya-i1,2024-25,Bellingham - Keough Memorial Academy,00250510,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,29
6.506666666666667,5,a-phya-i1,2024-25,Bellingham - Stall Brook,00250025,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          1.0,280,280.0
4.1226666666666665,4.12,a-phya-i1,2024-25,Belmont - Belmont High,00260505,          0.0,          0.0,          0.0,          0.0,          1.0,          1.0,          0.0,          2.0,1454,727.0
5.173333333333333,5,a-phya-i1,2024-25,Belmont - Belmont Middle School,00260315,          0.0,          0.0,          0.0,          1.4,          0.0,          0.0,          0.0,          1.4,742,530.0
