Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade Nine Students,# Passing All Courses,% Passing All Courses
2.3663157894736844,2.37,a-ovpe-i1,2021-22,Malden-Malden High,01650505,         491,         276,  56.2
4.172631578947368,4.17,a-ovpe-i1,2021-22,Manchester Essex Regional-Manchester Essex Regional High School,06980510,         113,         112,  99.1
3.903157894736842,3.9,a-ovpe-i1,2021-22,Mansfield-Mansfield High,01670505,         234,         217,  92.7
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Map Academy Charter School (District)-Map Academy Charter School,35170505,          50,          50, 100.0
3.9115789473684215,3.91,a-ovpe-i1,2021-22,Marblehead-Marblehead High,01680505,         240,         223,  92.9
3.002105263157895,3.0,a-ovpe-i1,2021-22,Marlborough-Marlborough High,01700505,         321,         229,  71.3
3.8400000000000003,3.84,a-ovpe-i1,2021-22,Marshfield-Marshfield High,01710505,         341,         311,  91.2
NA,NA,a-ovpe-i1,2021-22,Martha's Vineyard Charter (District)-Martha's Vineyard Charter School,04660550,           3,"",""
3.7389473684210524,3.74,a-ovpe-i1,2021-22,Martha's Vineyard-Martha's Vineyard Regional High,07000505,         232,         206,  88.8
4.172631578947368,4.17,a-ovpe-i1,2021-22,Masconomet-Masconomet Regional High School,07050505,         220,         218,  99.1
3.557894736842105,3.56,a-ovpe-i1,2021-22,Mashpee-Mashpee High,01720505,         129,         109,  84.5
3.2421052631578946,3.24,a-ovpe-i1,2021-22,Maynard-Maynard High,01740505,          87,          67,  77.0
4.042105263157895,4.04,a-ovpe-i1,2021-22,Medfield-Medfield Senior High,01750505,         177,         170,  96.0
2.9810526315789474,2.98,a-ovpe-i1,2021-22,Medford-Medford High,01760505,         322,         228,  70.8
3.995789473684211,4.0,a-ovpe-i1,2021-22,Medway-Medway High,01770505,         158,         150,  94.9
3.9747368421052633,3.97,a-ovpe-i1,2021-22,Melrose-Melrose High,01780505,         233,         220,  94.4
3.9494736842105262,3.95,a-ovpe-i1,2021-22,Mendon-Upton-Nipmuc Regional High,07100510,         162,         152,  93.8
3.1621052631578945,3.16,a-ovpe-i1,2021-22,Methuen-Methuen High,01810505,         502,         377,  75.1
