Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
2.4,2.4,"",2022-23,2.4,Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,   2.4,   0.0,   0.0,  97.6,   0.0,   0.0,   0.0,  69.1,  30.9,         24.6
0.0,1,"",2022-23,0.0,Berlin-Boylston - Berlin Memorial School,06200005,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         11.2
5.4,5,"",2022-23,5.4,Berlin-Boylston - Boylston Elementary School,06200010,   0.0,   0.0,   0.0,  94.6,   0.0,   0.0,   5.4,  92.9,   7.1,         18.5
2.2,2.2,"",2022-23,2.2,Berlin-Boylston - Tahanto Regional High,06200505,   0.0,   0.0,   0.0,  97.8,   0.0,   0.0,   2.2,  67.7,  32.3,         44.8
4.8,4.8,"",2022-23,4.8,Beverly - Ayers/Ryal Side School,00300055,   4.8,   0.0,   0.0,  95.2,   0.0,   0.0,   0.0,  95.2,   4.8,         21.0
3.6,3.6,"",2022-23,3.6,Beverly - Beverly High,00300505,   2.5,   0.0,   1.1,  96.4,   0.0,   0.0,   0.0,  57.8,  42.2,         94.5
4.1,4.1,"",2022-23,4.1,Beverly - Beverly Middle School,00300305,   0.0,   1.2,   2.9,  95.9,   0.0,   0.0,   0.0,  71.9,  28.1,         81.3
0.0,1,"",2022-23,0.0,Beverly - Centerville Elementary,00300010,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  91.3,   8.7,         23.0
0.0,1,"",2022-23,0.0,Beverly - Cove Elementary,00300015,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  96.0,   4.0,         25.0
0.0,1,"",2022-23,0.0,Beverly - Hannah Elementary,00300033,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  90.9,   9.1,         22.0
0.0,1,"",2022-23,0.0,Beverly - McKeown School,00300002,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         11.0
