Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
4.38,4.38,a-reso-i1,2022-23,Auburn - Swanson Road Intermediate School,00170030,     243,  18.1,        551,  48.3,  51.7,   2.5,  15.1,26.9
5.46,5,a-reso-i1,2022-23,Avon - Avon Middle High School,00180510,     244,  12.7,        338,  48.2,  51.5,   7.1,  21.9,45.9
4.220000000000001,4.22,a-reso-i1,2022-23,Avon - Ralph D Butler,00180010,     107,  18.9,        398,  48.2,  51.8,  17.3,  20.6,48.2
4.720000000000001,4.72,a-reso-i1,2022-23,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,     234,  16.4,        401,  47.4,  52.1,   3.5,  15.5,30.4
4.0600000000000005,4.06,a-reso-i1,2022-23,Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,     207,  19.7,        382,  46.9,  53.1,   2.9,  16.8,35.1
4.220000000000001,4.22,a-reso-i1,2022-23,Ayer Shirley School District - Lura A. White Elementary School,06160001,     180,  18.9,        337,  46.3,  53.7,   5.3,  25.5,32.1
4.08,4.08,a-reso-i1,2022-23,Ayer Shirley School District - Page Hilltop Elementary School,06160002,     233,  19.6,        550,  46.2,  53.8,   6.7,  20.4,38.7
4.24,4.24,a-reso-i1,2022-23,Barnstable - Barnstable Community Innovation School,00200012,     124,  18.8,        288,  47.9,  52.1,  45.8,   6.3,63.5
5.4399999999999995,5,a-reso-i1,2022-23,Barnstable - Barnstable High,00200505,     871,  12.8,"      1,671",  48.7,  50.9,  15.7,  15.6,53.1
4.68,4.68,a-reso-i1,2022-23,Barnstable - Barnstable Intermediate School,00200315,     597,  16.6,        684,  47.2,  52.6,  19.4,  18.6,58.6
4.9,4.9,a-reso-i1,2022-23,Barnstable - Barnstable United Elementary School,00200050,     464,  15.5,        737,  49.0,  50.8,  23.1,  17.8,55.4
3.96,3.96,a-reso-i1,2022-23,Barnstable - Centerville Elementary,00200010,      90,  20.2,        257,  45.1,  54.5,  18.7,  19.1,47.9
6.42,5,a-reso-i1,2022-23,Barnstable - Enoch Cobb Early Learning Center,00200001,      24,   7.9,        190,  37.9,  62.1,  36.8,  49.0,56.8
3.72,3.72,a-reso-i1,2022-23,Barnstable - Hyannis West Elementary,00200025,     112,  21.4,        336,  53.0,  47.0,  50.6,  16.7,78.9
3.8,3.8,a-reso-i1,2022-23,Barnstable - West Barnstable Elementary,00200005,      90,  21.0,        275,  41.5,  58.6,  19.6,  16.7,44.4
3.94,3.94,a-reso-i1,2022-23,Barnstable - West Villages Elementary School,00200045,     131,  20.3,        394,  45.9,  54.1,  11.9,  13.2,36.8
5.0600000000000005,5,a-reso-i1,2022-23,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,     248,  14.7,        398,  44.7,  55.3,   9.1,  21.9,82.4
5.34,5,a-reso-i1,2022-23,Bedford - Bedford High,00230505,     519,  13.3,        837,  48.8,  50.4,   1.0,  14.5,10.4
4.9,4.9,a-reso-i1,2022-23,Bedford - John Glenn Middle,00230305,     405,  15.5,        594,  50.3,  49.7,   2.0,  17.7,14
4.24,4.24,a-reso-i1,2022-23,Bedford - Lt Eleazer Davis,00230010,      82,  18.8,        529,  46.3,  53.7,   7.9,  20.6,11.7
4.18,4.18,a-reso-i1,2022-23,Bedford - Lt Job Lane School,00230012,     164,  19.1,        581,  47.0,  53.0,   3.6,  20.7,12.1
5.26,5,a-reso-i1,2022-23,Belchertown - Belchertown High,00240505,     431,  13.7,        643,  50.4,  48.5,   1.2,  17.3,20.4
3.8,3.8,a-reso-i1,2022-23,Belchertown - Chestnut Hill Community School,00240006,     191,  21.0,        484,  51.2,  48.8,   0.8,  24.0,26
4.9799999999999995,4.98,a-reso-i1,2022-23,Belchertown - Cold Spring,00240005,      38,  15.1,        196,  46.4,  53.6,   3.1,  31.6,27.6
5.04,5,a-reso-i1,2022-23,Belchertown - Jabish Middle School,00240025,     286,  14.8,        351,  46.4,  53.0,   1.7,  23.9,28.2
4.32,4.32,a-reso-i1,2022-23,Belchertown - Swift River Elementary,00240018,     233,  18.4,        477,  47.2,  52.8,   5.0,  26.0,27.5
5.82,5,a-reso-i1,2022-23,Bellingham - Bellingham Early Childhood Center,00250003,      11,  10.9,        117,  45.3,  53.9,   0.0,  48.7,32.5
4.5600000000000005,4.56,a-reso-i1,2022-23,Bellingham - Bellingham High School,00250505,     383,  17.2,        746,  51.1,  48.9,   2.4,  17.6,29.4
4.14,4.14,a-reso-i1,2022-23,Bellingham - Bellingham Memorial School,00250315,     335,  19.3,        594,  47.3,  52.7,   4.6,  24.4,37.7
4.24,4.24,a-reso-i1,2022-23,Bellingham - Joseph F DiPietro Elementary School,00250020,      64,  18.8,        300,  50.7,  49.3,   7.0,  18.3,29.3
6.36,5,a-reso-i1,2022-23,Bellingham - Keough Memorial Academy,00250510,      33,   8.2,         35,  57.1,  42.9,   0.0,  97.1,48.6
4.2,4.2,a-reso-i1,2022-23,Bellingham - Stall Brook,00250025,      53,  19.0,        245,  49.0,  51.0,  10.2,  20.0,35.5
3.78,3.78,a-reso-i1,2022-23,Belmont - Belmont High,00260505,     470,  21.1,"      1,369",  50.0,  49.7,   2.6,   8.4,11.1
3.72,3.72,a-reso-i1,2022-23,Belmont - Daniel Butler,00260015,     130,  21.4,        326,  47.6,  51.8,  24.9,  12.0,15
4.04,4.04,a-reso-i1,2022-23,Belmont - Mary Lee Burbank,00260010,     142,  19.8,        340,  51.5,  48.2,  15.0,  13.2,9.1
3.96,3.96,a-reso-i1,2022-23,Belmont - Roger E Wellington,00260035,     207,  20.2,        568,  50.0,  49.8,  19.5,  21.7,18.5
3.7,3.7,a-reso-i1,2022-23,Belmont - Winn Brook,00260005,     168,  21.5,        436,  54.1,  45.9,  19.5,   9.2,6
3.94,3.94,a-reso-i1,2022-23,Belmont - Winthrop L Chenery Middle,00260305,     690,  20.3,"      1,387",  48.7,  50.6,   5.3,  15.5,11
3.66,3.66,a-reso-i1,2022-23,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,      64,  21.7,        327,  52.6,  47.1,   6.4,  14.1,64.5
3.28,3.28,a-reso-i1,2022-23,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,     292,  23.6,        867,  50.4,  49.6,   8.5,  18.3,18.7
4.18,4.18,a-reso-i1,2022-23,Berkley - Berkley Community School,00270010,     168,  19.1,        484,  50.6,  49.4,   1.5,  18.8,29.3
4.54,4.54,a-reso-i1,2022-23,Berkley - Berkley Middle School,00270305,     192,  17.3,        370,  51.4,  48.7,   1.1,  18.4,23.2
4.279999999999999,4.28,a-reso-i1,2022-23,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,     182,  18.6,        375,  48.8,  48.3,   1.1,  21.3,63.2
5.62,5,a-reso-i1,2022-23,Berkshire Hills - Monument Mt Regional High,06180505,     342,  11.9,        483,  46.0,  53.6,   8.7,  14.3,39.3
4.74,4.74,a-reso-i1,2022-23,Berkshire Hills - Muddy Brook Regional Elementary School,06180035,     223,  16.3,        378,  50.8,  48.9,   9.5,  20.9,50.8
4.34,4.34,a-reso-i1,2022-23,Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,     278,  18.3,        334,  48.8,  49.7,   5.1,  17.1,42.8
4.720000000000001,4.72,a-reso-i1,2022-23,Berlin-Boylston - Berlin Memorial School,06200005,     140,  16.4,        226,  49.1,  50.4,   3.1,  20.8,20.4
4.16,4.16,a-reso-i1,2022-23,Berlin-Boylston - Boylston Elementary School,06200010,     182,  19.2,        340,  43.5,  56.5,   2.4,  21.2,13.2
5.0200000000000005,5,a-reso-i1,2022-23,Berlin-Boylston - Tahanto Regional High,06200505,     319,  14.9,        518,  52.5,  46.7,   2.7,  14.1,18.2
4.26,4.26,a-reso-i1,2022-23,Beverly - Ayers/Ryal Side School,00300055,      84,  18.7,        392,  50.8,  49.2,   6.1,  13.5,24.7
4.42,4.42,a-reso-i1,2022-23,Beverly - Beverly High,00300505,     604,  17.9,"      1,278",  49.8,  49.8,   4.2,  17.8,32.9
3.6399999999999997,3.64,a-reso-i1,2022-23,Beverly - Beverly Middle School,00300305,     587,  21.8,"      1,386",  48.6,  51.1,   3.2,  21.4,34.4
4.84,4.84,a-reso-i1,2022-23,Beverly - Centerville Elementary,00300010,      82,  15.8,        327,  45.6,  54.4,   7.0,  23.9,40.7
4.7,4.7,a-reso-i1,2022-23,Beverly - Cove Elementary,00300015,     103,  16.5,        426,  47.4,  52.6,   7.3,  25.8,36.9
4.76,4.76,a-reso-i1,2022-23,Beverly - Hannah Elementary,00300033,      80,  16.2,        323,  49.9,  50.2,   5.0,  18.0,28.5
5.7,5,a-reso-i1,2022-23,Beverly - McKeown School,00300002,      14,  11.5,        161,  34.8,  65.2,   3.7,  46.6,36
5.12,5,a-reso-i1,2022-23,Beverly - North Beverly Elementary,00300040,      96,  14.4,        346,  41.6,  58.4,   9.3,  21.7,31.2
4.14,4.14,a-reso-i1,2022-23,Billerica - Billerica Memorial High School,00310505,     716,  19.3,"      1,813",  48.5,  51.4,   2.4,  21.0,26.5
3.9200000000000004,3.92,a-reso-i1,2022-23,Billerica - Frederick J Dutile,00310007,     123,  20.4,        288,  49.0,  51.0,   0.4,  23.3,23.3
4.18,4.18,a-reso-i1,2022-23,Billerica - Hajjar Elementary,00310026,     176,  19.1,        381,  53.8,  45.9,  12.3,  17.3,37.5
4.32,4.32,a-reso-i1,2022-23,Billerica - John F Kennedy,00310012,     150,  18.4,        313,  53.7,  46.3,   0.3,  23.0,19.5
4.82,4.82,a-reso-i1,2022-23,Billerica - Locke Middle,00310310,     344,  15.9,        553,  48.1,  51.9,   0.0,  23.9,21.3
4.16,4.16,a-reso-i1,2022-23,Billerica - Marshall Middle School,00310305,     316,  19.2,        614,  52.0,  48.1,   2.1,  25.4,31.3
3.9799999999999995,3.98,a-reso-i1,2022-23,Billerica - Parker,00310015,     185,  20.1,        423,  53.7,  46.3,   1.7,  26.0,29.3
3.9,3.9,a-reso-i1,2022-23,Billerica - Thomas Ditson,00310005,     240,  20.5,        557,  50.3,  49.7,   3.8,  19.2,25
4.62,4.62,a-reso-i1,2022-23,Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,     660,  16.9,"      1,221",  44.5,  54.8,   0.5,  11.8,15.6
3.38,3.38,a-reso-i1,2022-23,Blackstone-Millville - A F Maloney,06220015,     104,  23.1,        253,  47.8,  52.2,   0.8,  18.6,37.9
5.3,5,a-reso-i1,2022-23,Blackstone-Millville - Blackstone Millville RHS,06220505,     245,  13.5,        415,  48.0,  51.1,   1.2,  14.7,29.2
4.720000000000001,4.72,a-reso-i1,2022-23,Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,     263,  16.4,        356,  44.7,  54.8,   2.0,  17.4,36.2
3.96,3.96,a-reso-i1,2022-23,Blackstone-Millville - John F Kennedy Elementary,06220008,      49,  20.2,        110,  53.6,  46.4,   7.3,  14.6,46.4
4.5,4.5,a-reso-i1,2022-23,Blackstone-Millville - Millville Elementary,06220010,     151,  17.5,        388,  49.5,  50.5,   4.9,  20.4,33.5
4.92,4.92,a-reso-i1,2022-23,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     435,  15.4,        901,  48.0,  52.1,   1.6,  26.3,39.5
5.54,5,a-reso-i1,2022-23,Boston - Adams Elementary School,00350302,     177,  12.3,        253,  48.6,  51.4,  55.3,  24.9,80.2
6.720000000000001,5,a-reso-i1,2022-23,Boston - Alighieri Dante Montessori School,00350066,     142,   6.4,        101,  46.5,  53.5,  27.7,  17.8,38.6
4.96,4.96,a-reso-i1,2022-23,Boston - Another Course To College,00350541,     109,  15.2,        255,  43.1,  56.5,  17.7,  32.9,77.3
5.16,5,a-reso-i1,2022-23,Boston - Baldwin Early Learning Pilot Academy,00350003,      89,  14.2,        172,  49.4,  50.6,  43.6,  21.5,55.8
4.68,4.68,a-reso-i1,2022-23,Boston - Bates Elementary School,00350278,     149,  16.6,        282,  40.4,  59.6,  23.8,  33.0,50.7
4.88,4.88,a-reso-i1,2022-23,Boston - Beethoven Elementary School,00350021,     149,  15.6,        280,  46.1,  53.9,  41.8,  19.3,59.6
5.24,5,a-reso-i1,2022-23,Boston - Blackstone Elementary School,00350390,     459,  13.8,        612,  47.7,  52.3,  49.2,  27.5,89.2
5.58,5,a-reso-i1,2022-23,Boston - Boston Adult Tech Academy,00350548,      87,  12.1,        220,  43.2,  56.8,  70.5,  12.3,82.7
