Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
NA,NA,a-phys-i1,2021-22,Berlin-Boylston - Berlin Memorial School,06200005,     227,       1,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Berlin-Boylston - Boylston Elementary School,06200010,     315,       2,"","","","","","",""
6.633776091081593,5,a-phys-i1,2021-22,Berlin-Boylston - Tahanto Regional High,06200505,     548,      10,   0.0,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Beverly - Ayers/Ryal Side School,00300055,     400,       0,"","","","","","",""
5.039848197343453,5,a-phys-i1,2021-22,Beverly - Beverly High,00300505,"   1,337",      98,   4.9,   3.9,   0.0,   0.0,   0.0,   0.0,   0.0
5.495256166982922,5,a-phys-i1,2021-22,Beverly - Beverly Middle School,00300305,"   1,495",      61,   1.6,   3.3,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Beverly - Centerville Elementary,00300010,     310,       2,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Beverly - Cove Elementary,00300015,     432,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Beverly - Hannah Elementary,00300033,     349,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Beverly - McKeown School,00300002,     160,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Beverly - North Beverly Elementary,00300040,     358,       2,"","","","","","",""
5.419354838709677,5,a-phys-i1,2021-22,Billerica - Billerica Memorial High School,00310505,"   1,815",      62,   0.0,   3.4,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Billerica - Frederick J Dutile,00310007,     272,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Billerica - Hajjar Elementary,00310026,     405,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Billerica - John F Kennedy,00310012,     325,       0,"","","","","","",""
5.722960151802656,5,a-phys-i1,2021-22,Billerica - Locke Middle,00310310,     537,      16,   0.0,   3.0,   0.0,   0.0,   0.0,   0.0,   0.0
6.178368121442125,5,a-phys-i1,2021-22,Billerica - Marshall Middle School,00310305,     620,      17,   0.8,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Billerica - Parker,00310015,     432,       0,"","","","","","",""
