Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Nonbinary
NA,NA,"",2024-25,Berkshire Hills - Mountainside Preschool,06180001,   0.0,   0.0,   0.0,  22.2,   0.0,   0.0,  77.8,  22.2,  77.8,   0.0
NA,NA,"",2024-25,Berkshire Hills - Muddy Brook Regional Elementary School,06180035,   0.0,   3.3,   3.8,  17.5,   6.6,   0.0,  68.8,  49.6,  50.1,   0.3
NA,NA,"",2024-25,Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,   0.0,   1.2,   1.8,  13.8,   6.1,   0.0,  77.0,  54.0,  45.4,   0.6
NA,NA,"",2024-25,Berlin-Boylston - Berlin Memorial School,06200005,   0.8,   2.5,   0.8,  12.4,   2.5,   0.0,  81.0,  48.8,  50.8,   0.4
NA,NA,"",2024-25,Berlin-Boylston - Boylston Elementary School,06200010,   0.0,   5.5,   1.2,  11.2,   4.0,   0.0,  78.1,  46.1,  53.9,   0.0
NA,NA,"",2024-25,Berlin-Boylston - Tahanto Regional High,06200505,   0.2,   4.2,   2.3,   8.0,   5.9,   0.2,  79.1,  50.4,  49.0,   0.6
NA,NA,"",2024-25,Beverly - Ayers/Ryal Side School,00300055,   0.0,   2.1,   2.8,   9.0,   1.3,   0.0,  84.8,  49.5,  50.5,   0.0
NA,NA,"",2024-25,Beverly - Beverly High,00300505,   0.1,   2.0,   3.5,  18.5,   3.9,   0.1,  72.0,  50.5,  48.7,   0.8
NA,NA,"",2024-25,Beverly - Beverly Middle School,00300305,   0.0,   1.9,   3.7,  15.5,   5.2,   0.0,  73.7,  48.1,  51.9,   0.0
NA,NA,"",2024-25,Beverly - Centerville Elementary,00300010,   0.0,   2.1,   4.6,  17.1,   5.8,   0.0,  70.3,  45.0,  55.0,   0.0
